table,rows,compressed_bytes,uncompressed_bytes,compressed_mb,uncompressed_mb,compression_ratio
dim_household,1408,14745,89095,0.014061927795410156,0.08496761322021484,6.042387249915225
dim_protocol,410,80664,456472,0.07692718505859375,0.43532562255859375,5.6589308737478925
dim_weather,15083,302849,808830,0.2888193130493164,0.7713603973388672,2.6707369018883997
fct_meter_readings,935805,11351153,89122984,10.825303077697754,84.99430084228516,7.851447689939516
obt_smart_meter_readings,935805,19953348,195769779,19.028995513916016,186.70061016082764,9.811374963239253
